timestamp,alert_type,severity,risk_score,vibration_level,detections,explanation
2026-03-03 20:15:36,TEST,INFO,25.0,0.12,person,test alert
2026-03-03 20:16:42,TEST,INFO,25.0,0.12,person,test alert
2026-03-03 20:29:36,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:36,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:36,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:36,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:36,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:36,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
2026-03-03 20:29:37,✅ MAINTENANCE IN PROGRESS,SAFE,0,0.0,none,"Scheduled Maintenance Active.
Task: Scheduled Repair | Team: Team A (Active since 20:29)"
